date,amount,description,company,category
2024-07-23,242.41,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-02-24,92.53,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-02-09,616.8,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-01-30,335.68,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Ergo Chair,Rent
2024-04-20,28.31,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2024-05-18,999.75,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Ergo Chair,Rent
2024-05-17,65.96,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2024-04-07,685.14,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Ergo Chair,Rent
2023-11-21,918.92,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Carbonite,Groceries
2024-02-25,211.73,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2023-08-22,303.53,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-02-03,112.65,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2024-03-14,744.48,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2024-07-12,218.11,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-08-07,780.78,The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes,Nagasaki Lander,Groceries
2024-01-15,935.61,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2024-06-23,694.08,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-04-25,31.62,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2023-11-18,565.95,The automobile layout consists of a front-engine design,The Auto,Car Payment
2024-07-19,981.28,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-06-17,858.77,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2024-03-09,417.8,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2023-09-19,844.9,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Nat Apple,Fun Money
2023-12-20,294.43,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-05-09,733.06,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Ergo Chair,Rent
2024-05-05,828.12,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-03-25,1.27,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2023-12-14,954.87,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Nat Apple,Fun Money
2023-12-02,141.78,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-07-24,716.81,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Nat Apple,Fun Money
2024-03-14,303.77,The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes,Nagasaki Lander,Groceries
2024-03-17,512.64,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2023-12-24,53.61,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Nat Apple,Fun Money
2024-03-19,482.84,The automobile layout consists of a front-engine design,The Auto,Car Payment
2023-09-30,389.95,The automobile layout consists of a front-engine design,The Auto,Car Payment
2024-02-03,240.38,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2023-09-06,418.45,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2024-02-25,643.38,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2023-08-15,731.09,The automobile layout consists of a front-engine design,The Auto,Car Payment
2024-07-14,289.65,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Carbonite,Groceries
2024-03-20,965.09,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2024-01-10,65.97,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2024-04-19,177.05,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-06-17,190.35,The Apollotech B340 is an affordable wireless mouse with reliable connectivity,Apollotech,Income
2024-03-20,94.81,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2024-07-21,827.61,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2024-04-10,302.99,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Nat Apple,Fun Money
2024-02-04,876.33,The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes,Nagasaki Lander,Groceries
2023-10-30,819.05,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2023-11-16,446.24,The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes,Nagasaki Lander,Groceries
2024-01-28,889.14,The Apollotech B340 is an affordable wireless mouse with reliable connectivity,Apollotech,Income
2023-09-23,689.46,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2024-08-07,585.38,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-03-02,661.75,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2024-02-01,113.44,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-06-30,609.08,The Apollotech B340 is an affordable wireless mouse with reliable connectivity,Apollotech,Income
2023-12-22,955.33,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Carbonite,Groceries
2024-04-21,976.16,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2023-10-21,708.56,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2024-07-21,730.41,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Ergo Chair,Rent
2023-10-07,400.79,The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes,Nagasaki Lander,Groceries
2023-12-26,409.29,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2023-11-03,603.41,New ABC 13 9370,ABC Co,Income
2024-02-03,245.63,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Nat Apple,Fun Money
2024-03-20,894.91,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Nat Apple,Fun Money
2024-07-26,692.52,New ABC 13 9370,ABC Co,Income
2024-07-21,520.36,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2024-03-18,332.82,New ABC 13 9370,ABC Co,Income
2024-01-06,701.0,The Apollotech B340 is an affordable wireless mouse with reliable connectivity,Apollotech,Income
2023-08-22,50.68,New ABC 13 9370,ABC Co,Income
2024-04-13,521.32,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2024-03-23,973.36,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
